seller_id;quantity;date
459;19;2021-06-16
96;9;2021-06-19
101;18;2021-06-16
388;11;2021-06-12
20;25;2021-06-01
378;14;2021-06-20
12;17;2021-06-05
324;7;2021-06-01
94;9;2021-06-16
272;5;2021-06-02
454;22;2021-06-26
79;10;2021-06-04
178;68;2021-06-24
317;10;2021-06-20
271;8;2021-06-19
134;24;2021-06-17
325;5;2021-06-23
237;33;2021-06-24
44;19;2021-06-10
1;9;2021-06-11
207;8;2021-06-27
441;25;2021-06-02
215;25;2021-06-15
116;12;2021-06-03
267;16;2021-06-19
41;38;2021-06-14
372;5;2021-06-21
99;85;2021-06-24
422;41;2021-06-26
250;11;2021-06-15
324;31;2021-06-27
158;9;2021-06-28
445;10;2021-06-03
211;30;2021-06-23
139;6;2021-06-03
137;70;2021-06-14
387;13;2021-06-01
350;6;2021-06-05
91;16;2021-06-26
362;14;2021-06-18
183;11;2021-06-11
347;14;2021-06-03
237;21;2021-06-11
370;17;2021-06-20
210;21;2021-06-13
483;10;2021-06-16
145;22;2021-06-15
327;9;2021-06-21
149;17;2021-06-07
282;23;2021-06-12
410;22;2021-06-13
60;10;2021-06-25
64;25;2021-06-18
27;8;2021-06-27
6;18;2021-06-02
331;24;2021-06-20
418;15;2021-06-06
330;15;2021-06-21
302;12;2021-06-11
42;12;2021-06-25
170;54;2021-06-13
228;23;2021-06-02
440;16;2021-06-27
65;41;2021-06-14
29;8;2021-06-11
37;13;2021-06-19
412;12;2021-06-15
84;34;2021-06-15
161;72;2021-06-14
244;12;2021-06-25
128;16;2021-06-02
413;31;2021-06-15
467;17;2021-06-21
105;17;2021-06-19
397;13;2021-06-04
181;11;2021-06-19
97;19;2021-06-05
113;14;2021-06-22
370;49;2021-06-24
248;49;2021-06-14
431;13;2021-06-01
364;42;2021-06-14
188;9;2021-06-09
278;22;2021-06-02
44;17;2021-06-18
114;30;2021-06-11
393;18;2021-06-08
200;30;2021-06-14
117;10;2021-06-25
247;21;2021-06-13
422;38;2021-06-23
113;15;2021-06-17
69;27;2021-06-23
312;9;2021-06-28
342;14;2021-06-16
396;10;2021-06-22
301;18;2021-06-09
409;41;2021-06-23
121;10;2021-06-01
442;14;2021-06-09
326;21;2021-06-18
243;37;2021-06-14
73;12;2021-06-04
50;15;2021-06-27
354;31;2021-06-12
190;8;2021-06-07
61;13;2021-06-08
338;31;2021-06-02
126;13;2021-06-03
340;19;2021-06-21
2;34;2021-06-17
491;39;2021-06-24
480;31;2021-06-03
70;33;2021-06-01
74;21;2021-06-20
155;16;2021-06-16
334;11;2021-06-03
291;17;2021-06-24
283;19;2021-06-10
345;22;2021-06-24
284;14;2021-06-10
178;19;2021-06-01
1;33;2021-06-04
305;9;2021-06-17
101;39;2021-06-13
42;16;2021-06-12
41;18;2021-06-27
261;22;2021-06-11
63;32;2021-06-10
306;29;2021-06-01
148;41;2021-06-12
483;20;2021-06-26
79;24;2021-06-05
110;40;2021-06-09
268;12;2021-06-27
178;13;2021-06-03
475;21;2021-06-21
464;8;2021-06-05
211;12;2021-06-18
175;10;2021-06-07
77;26;2021-06-11
81;21;2021-06-07
19;21;2021-06-06
382;11;2021-06-11
438;30;2021-06-27
185;12;2021-06-11
249;14;2021-06-27
321;28;2021-06-12
488;12;2021-06-02
392;10;2021-06-16
327;21;2021-06-22
189;9;2021-06-05
69;6;2021-06-06
360;27;2021-06-11
281;13;2021-06-17
109;18;2021-06-02
320;27;2021-06-13
29;11;2021-06-28
48;9;2021-06-04
482;17;2021-06-09
408;13;2021-06-06
33;14;2021-06-16
161;14;2021-06-09
64;19;2021-06-22
54;9;2021-06-25
359;8;2021-06-27
353;14;2021-06-27
413;15;2021-06-28
182;41;2021-06-24
425;15;2021-06-13
33;33;2021-06-09
346;14;2021-06-18
342;16;2021-06-08
328;6;2021-06-05
105;12;2021-06-03
202;24;2021-06-24
469;8;2021-06-02
148;23;2021-06-07
262;7;2021-06-17
441;16;2021-06-17
15;29;2021-06-03
7;12;2021-06-19
424;17;2021-06-06
330;13;2021-06-06
312;16;2021-06-11
423;13;2021-06-22
296;26;2021-06-16
2;241;2021-06-24
408;6;2021-06-22
419;12;2021-06-08
57;45;2021-06-25
223;28;2021-06-19
378;36;2021-06-13
397;9;2021-06-01
324;20;2021-06-16
175;47;2021-06-23
132;5;2021-06-08
377;15;2021-06-07
278;18;2021-06-04
305;17;2021-06-22
390;13;2021-06-06
269;16;2021-06-15
154;25;2021-06-10
67;11;2021-06-22
453;19;2021-06-13
360;7;2021-06-01
235;14;2021-06-27
28;22;2021-06-12
16;30;2021-06-03
112;19;2021-06-10
363;30;2021-06-28
323;23;2021-06-27
310;25;2021-06-05
229;29;2021-06-19
122;15;2021-06-25
108;16;2021-06-01
487;18;2021-06-21
151;76;2021-06-13
253;22;2021-06-16
100;29;2021-06-03
128;19;2021-06-15
205;36;2021-06-27
472;13;2021-06-01
225;9;2021-06-12
15;138;2021-06-14
419;14;2021-06-25
170;21;2021-06-16
153;16;2021-06-10
327;9;2021-06-16
3;12;2021-06-18
412;14;2021-06-07
172;52;2021-06-14
173;41;2021-06-14
155;16;2021-06-20
21;122;2021-06-14
257;15;2021-06-01
19;10;2021-06-25
45;34;2021-06-23
298;12;2021-06-11
333;5;2021-06-02
216;25;2021-06-01
223;33;2021-06-14
297;25;2021-06-01
95;49;2021-06-13
413;13;2021-06-04
299;17;2021-06-18
284;13;2021-06-11
169;14;2021-06-22
252;25;2021-06-15
340;10;2021-06-13
12;21;2021-06-20
122;9;2021-06-08
15;16;2021-06-19
300;20;2021-06-11
109;6;2021-06-15
254;7;2021-06-28
299;20;2021-06-21
383;29;2021-06-14
170;7;2021-06-02
222;14;2021-06-11
410;15;2021-06-28
62;12;2021-06-12
305;11;2021-06-04
416;16;2021-06-25
466;9;2021-06-27
131;11;2021-06-10
2;10;2021-06-10
411;17;2021-06-23
42;27;2021-06-03
418;10;2021-06-02
475;13;2021-06-15
68;15;2021-06-20
10;30;2021-06-25
398;13;2021-06-27
322;26;2021-06-01
156;14;2021-06-21
306;34;2021-06-14
7;19;2021-06-27
297;54;2021-06-24
385;29;2021-06-04
350;45;2021-06-24
232;13;2021-06-11
10;18;2021-06-16
292;11;2021-06-05
258;20;2021-06-23
5;13;2021-06-06
45;11;2021-06-08
199;7;2021-06-28
198;7;2021-06-26
282;11;2021-06-26
292;14;2021-06-26
44;10;2021-06-05
489;3;2021-06-12
86;32;2021-06-15
399;18;2021-06-01
437;34;2021-06-25
214;11;2021-06-02
325;8;2021-06-13
454;15;2021-06-11
19;11;2021-06-17
488;15;2021-06-15
166;13;2021-06-17
153;19;2021-06-16
262;19;2021-06-27
42;118;2021-06-24
118;48;2021-06-14
164;44;2021-06-15
23;166;2021-06-14
477;11;2021-06-04
450;9;2021-06-12
127;16;2021-06-11
413;31;2021-06-14
232;24;2021-06-15
334;23;2021-06-28
358;44;2021-06-13
66;17;2021-06-16
167;37;2021-06-20
415;10;2021-06-27
345;9;2021-06-27
118;19;2021-06-06
250;21;2021-06-12
51;29;2021-06-28
374;11;2021-06-18
376;40;2021-06-13
214;12;2021-06-27
63;19;2021-06-21
291;19;2021-06-19
164;51;2021-06-23
109;16;2021-06-16
361;15;2021-06-05
328;8;2021-06-08
376;35;2021-06-25
334;8;2021-06-10
163;21;2021-06-09
315;17;2021-06-18
319;40;2021-06-14
321;37;2021-06-24
287;8;2021-06-02
214;60;2021-06-24
311;6;2021-06-10
441;8;2021-06-09
155;18;2021-06-02
157;27;2021-06-25
361;12;2021-06-10
480;14;2021-06-26
402;8;2021-06-21
493;16;2021-06-02
344;29;2021-06-02
423;23;2021-06-13
212;12;2021-06-04
104;15;2021-06-07
234;17;2021-06-16
314;14;2021-06-26
258;17;2021-06-06
341;15;2021-06-01
433;3;2021-06-22
291;24;2021-06-28
298;21;2021-06-19
423;16;2021-06-21
346;11;2021-06-19
429;8;2021-06-09
181;25;2021-06-15
64;19;2021-06-03
242;24;2021-06-18
20;11;2021-06-21
310;21;2021-06-21
8;30;2021-06-17
16;16;2021-06-07
472;20;2021-06-03
26;17;2021-06-26
435;20;2021-06-12
185;21;2021-06-08
113;18;2021-06-01
172;17;2021-06-12
40;19;2021-06-28
153;20;2021-06-11
469;15;2021-06-23
452;22;2021-06-28
54;19;2021-06-17
464;16;2021-06-19
312;11;2021-06-07
466;14;2021-06-20
359;8;2021-06-18
169;27;2021-06-01
127;16;2021-06-18
131;82;2021-06-14
154;11;2021-06-09
292;19;2021-06-11
137;55;2021-06-15
255;26;2021-06-14
22;17;2021-06-18
119;20;2021-06-17
107;9;2021-06-04
493;29;2021-06-13
339;36;2021-06-14
379;17;2021-06-22
169;14;2021-06-08
300;40;2021-06-14
384;15;2021-06-21
200;9;2021-06-17
111;19;2021-06-07
141;15;2021-06-25
338;12;2021-06-23
207;8;2021-06-18
294;32;2021-06-23
222;18;2021-06-15
13;180;2021-06-13
132;9;2021-06-27
424;16;2021-06-07
461;7;2021-06-10
424;15;2021-06-03
398;13;2021-06-16
18;5;2021-06-05
74;11;2021-06-21
414;16;2021-06-01
229;17;2021-06-28
24;20;2021-06-04
274;22;2021-06-13
391;12;2021-06-02
418;17;2021-06-10
385;9;2021-06-26
92;56;2021-06-24
272;17;2021-06-12
91;19;2021-06-21
405;11;2021-06-05
107;15;2021-06-27
296;40;2021-06-09
372;20;2021-06-17
283;21;2021-06-06
280;18;2021-06-21
290;8;2021-06-04
76;23;2021-06-06
111;16;2021-06-09
311;21;2021-06-15
446;19;2021-06-15
140;29;2021-06-14
47;17;2021-06-22
353;27;2021-06-24
424;23;2021-06-25
230;7;2021-06-09
433;8;2021-06-19
463;20;2021-06-09
331;27;2021-06-14
282;7;2021-06-27
447;15;2021-06-26
376;19;2021-06-27
351;33;2021-06-24
174;12;2021-06-06
172;9;2021-06-09
229;36;2021-06-15
83;9;2021-06-06
204;11;2021-06-02
277;11;2021-06-07
313;31;2021-06-25
218;11;2021-06-04
286;12;2021-06-26
425;11;2021-06-10
429;14;2021-06-03
377;15;2021-06-28
430;9;2021-06-16
228;14;2021-06-05
13;28;2021-06-25
432;13;2021-06-19
478;22;2021-06-08
207;53;2021-06-24
413;27;2021-06-02
146;70;2021-06-13
78;20;2021-06-20
249;18;2021-06-23
19;15;2021-06-19
253;23;2021-06-20
324;54;2021-06-24
