brand,model,description,price,exposition_days_count,images_count,label
Evgo,ET-2975,Рабочий,1000.0,2,27,good
Philips,32PW8718,Рабочий,5000.0,191,13,good
Silelis,405D,Рабочий,2000.0,190,20,good
Витязь,32L501C19,Рабочий,8000.0,181,28,good
Philips,42PES0001D,Рабочий,1500.0,4,17,good
Erisson,29SF10,Рабочий,1000.0,150,18,good
Funai,TV-2000A MK7,Рабочий,500.0,93,7,good
Samsung,BE32R-B,Рабочий,2000.0,137,26,good
Philips,14GX8512/59T,Рабочий,8000.0,129,25,good
Samsung,CS-21M21ZQQ,Рабочий,1000.0,135,28,good
Panasonic,TC-14X2,Рабочий,2000.0,82,20,good
Philips,19PFL3403,Рабочий,7000.0,183,7,good
Thomson,40E90NH22,Рабочий,12000.0,127,28,good
Funai,TV-2100A MK11,Рабочий,1000.0,14,14,good
Philips,32PF4311,Рабочий,4000.0,14,4,good
Rolsen,C21R20,Рабочий,500.0,196,15,good
Panasonic,OLED TX-55EZ950E,Рабочий,1000.0,162,28,good
Samsung,UE49KU6510U,Рабочий,1500.0,80,30,good
Panasonic,TC-21FJ10T,Рабочий,3900.0,119,30,good
Toshiba,43D9UXR,Рабочий,5000.0,195,3,good
LG,CF-21F30K,Рабочий,1000.0,5,27,good
Samsung,WS-32Z31SSQ,Рабочий,2000.0,18,23,good
Erisson,1405,Рабочий,500.0,102,19,good
Erisson,1408,Рабочий,500.0,71,21,good
LG,CF-21F30K,Рабочий,777.0,92,5,good
Philips,22PFL3403,Рабочий,5500.0,100,23,good
Funai,TV-2100T MK8,Рабочий,1500.0,85,28,good
Philips,42PFL6007T,Рабочий,2000.0,118,6,good
Acer,AT2231,Рабочий,3000.0,71,19,good
Электрон,54ТК-731,Рабочий,1000.0,55,1,good
Sony,TRINITRON KV-2167 MT,Рабочий,1750.0,65,25,good
Sony,KLV-32NX400,Рабочий,7000.0,6,7,good
Polar,54CTV4029,Рабочий,1500.0,117,26,good
Sony,KV-21FT1,Рабочий,600.0,19,8,good
Samsung,LE-32C530,Рабочий,7999.0,24,30,good
Sony,FW-55XE9001,Рабочий,500.0,127,27,good
Philips,29PT8508,Рабочий,2500.0,20,2,good
LG,15FC2RB,Рабочий,1800.0,114,4,good
LG,26LG3050,Рабочий,1000.0,66,26,good
Samsung,LE-20S53BP,Рабочий,3500.0,35,8,good
Samsung,400UX-3,Рабочий,1.0,170,24,good
Toshiba,25CSZ5TR,Рабочий,1000.0,18,30,good
Panasonic,TC-21L10R,Рабочий,1000.0,10,7,good
Samsung,UE32N5000AU,Рабочий,1500.0,177,28,good
Daewoo Electronics,DMQ-20Q2M,Рабочий,500.0,107,3,good
Polar,54CTV1229,Рабочий,1000.0,178,28,good
Samsung,LE-15S51BP,Рабочий,4500.0,125,5,good
Samsung,CS-21N11MJQ,Рабочий,1000.0,56,5,good
Рубин,37M09T,Рабочий,1000.0,67,15,good
Toshiba,43CVR9UR,Рабочий,5000.0,38,2,good
